"Story","Title","Result","Date","Stability","Duration (s)"
"Category Admin","admin get all Category","SUCCESS","2022-12-19T16:05:44.6380822+07:00[Asia/Jakarta]","0.0","11.12"
"Category Admin","admin get a Category id","SUCCESS","2022-12-19T16:05:55.7695894+07:00[Asia/Jakarta]","0.0","4.18"
"Product Admin","admin get all product","SUCCESS","2022-12-19T16:05:44.7989825+07:00[Asia/Jakarta]","0.0","11.38"
"Product Admin","admin get a product by id","SUCCESS","2022-12-19T16:05:56.1919533+07:00[Asia/Jakarta]","0.0","5.3"
"Product Type Admin","admin get all Product Type","SUCCESS","2022-12-19T16:05:43.9944784+07:00[Asia/Jakarta]","0.0","12.29"
"Product Type Admin","admin get a Product Type by Id","SUCCESS","2022-12-19T16:05:56.2958914+07:00[Asia/Jakarta]","0.0","3.23"
"Provider Admin","admin get all Provider","SUCCESS","2022-12-19T16:05:44.7699996+07:00[Asia/Jakarta]","0.0","9.19"
"Provider Admin","admin get a Provider by id","SUCCESS","2022-12-19T16:05:53.9762637+07:00[Asia/Jakarta]","0.0","5.75"
"Wallet Admin","admin get All Wallet","SUCCESS","2022-12-19T16:05:44.5631284+07:00[Asia/Jakarta]","0.0","10.35"
"Login","login with email password valid","SUCCESS","2022-12-19T16:05:44.9009191+07:00[Asia/Jakarta]","0.0","6.46"
"Login","login with email valid and no password","SUCCESS","2022-12-19T16:05:51.3989898+07:00[Asia/Jakarta]","0.0","1.66"
"Login","login with password valid and no email","SUCCESS","2022-12-19T16:05:53.0685579+07:00[Asia/Jakarta]","0.0","1.24"
"Login","login with null data","SUCCESS","2022-12-19T16:05:54.3277844+07:00[Asia/Jakarta]","0.0","1.07"
"Login","login with email and password invalid","SUCCESS","2022-12-19T16:05:55.4208049+07:00[Asia/Jakarta]","0.0","1.24"
"Login","login with email valid and password invalid","SUCCESS","2022-12-19T16:05:56.6827604+07:00[Asia/Jakarta]","0.0","6.53"
"Login","login with email invalid and password valid","SUCCESS","2022-12-19T16:06:03.2234844+07:00[Asia/Jakarta]","0.0","2.33"
"Logout","logout with invalid token","SUCCESS","2022-12-19T16:05:51.9636397+07:00[Asia/Jakarta]","0.0","1.46"
"Logout","logout with null token","SUCCESS","2022-12-19T16:05:53.4458438+07:00[Asia/Jakarta]","0.0","1.38"
"Register","Register with phone_number email password","SUCCESS","2022-12-19T16:05:51.9946211+07:00[Asia/Jakarta]","0.0","1.42"
"Register","Register with name email password","SUCCESS","2022-12-19T16:05:53.4298556+07:00[Asia/Jakarta]","0.0","2.03"
"Register","Register with name phone_number password","SUCCESS","2022-12-19T16:05:55.4717727+07:00[Asia/Jakarta]","0.0","1.46"
"Register","Register with name phone_number email","SUCCESS","2022-12-19T16:05:56.9596277+07:00[Asia/Jakarta]","0.0","2.87"
"Register","Register with no data","SUCCESS","2022-12-19T16:05:59.8422989+07:00[Asia/Jakarta]","0.0","1.59"
"Register","Register with register account","SUCCESS","2022-12-19T16:06:01.4413988+07:00[Asia/Jakarta]","0.0","1.93"
"Category User","user a get Category product","SUCCESS","2022-12-19T16:05:44.7090372+07:00[Asia/Jakarta]","0.0","11.31"
"Product Type User","user product type","SUCCESS","2022-12-19T16:05:44.5901109+07:00[Asia/Jakarta]","0.0","11.17"
"Product Type User","user get product type by id","SUCCESS","2022-12-19T16:05:55.7855791+07:00[Asia/Jakarta]","0.0","9.96"
"Product User","user get all product","SUCCESS","2022-12-19T16:05:44.842954+07:00[Asia/Jakarta]","0.0","16.08"
"Product User","user get product by id","SUCCESS","2022-12-19T16:06:00.9307446+07:00[Asia/Jakarta]","0.0","6.71"
"Transaction User","user buy the item","SUCCESS","2022-12-19T16:05:44.6610676+07:00[Asia/Jakarta]","0.0","10.26"
"Transaction User","user view the history","SUCCESS","2022-12-19T16:05:54.9516017+07:00[Asia/Jakarta]","0.0","4.47"
"Wallet User","user top up balance","SUCCESS","2022-12-19T16:05:44.8229673+07:00[Asia/Jakarta]","0.0","6.62"
"Wallet User","user get my wallet","SUCCESS","2022-12-19T16:05:51.4559548+07:00[Asia/Jakarta]","0.0","5.49"
"Wallet User","user get my wallet history","SUCCESS","2022-12-19T16:05:56.9706205+07:00[Asia/Jakarta]","0.0","2.82"
"Wallet User","user get my wallet cashin cashout","SUCCESS","2022-12-19T16:05:59.8023262+07:00[Asia/Jakarta]","0.0","1.57"
