"Story","Title","Result","Date","Stability","Duration (s)"
"Category Admin","admin get all Category","SUCCESS","2022-12-22T23:31:44.1137981+07:00[Asia/Jakarta]","0.0","5.65"
"Category Admin","admin get a Category id","SUCCESS","2022-12-22T23:31:49.7773032+07:00[Asia/Jakarta]","0.0","2.26"
"Category Admin","admin get all Category no token","SUCCESS","2022-12-22T23:31:52.0468948+07:00[Asia/Jakarta]","0.0","0.28"
"Category Admin","admin get a Category id no token","SUCCESS","2022-12-22T23:31:52.3377172+07:00[Asia/Jakarta]","0.0","0.99"
"Product Admin","admin get all product","SUCCESS","2022-12-22T23:31:44.0168581+07:00[Asia/Jakarta]","0.0","5.79"
"Product Admin","admin get a product by id","SUCCESS","2022-12-22T23:31:50.0431368+07:00[Asia/Jakarta]","0.0","0.46"
"Product Admin","admin get all product no token","SUCCESS","2022-12-22T23:31:50.5218409+07:00[Asia/Jakarta]","0.0","0.84"
"Product Admin","admin get a product by id no token","SUCCESS","2022-12-22T23:31:51.3763107+07:00[Asia/Jakarta]","0.0","0.29"
"Product Type Admin","admin get all Product Type","SUCCESS","2022-12-22T23:31:43.742027+07:00[Asia/Jakarta]","0.0","6.08"
"Product Type Admin","admin get a Product Type by Id","SUCCESS","2022-12-22T23:31:50.2150309+07:00[Asia/Jakarta]","0.0","1.4"
"Product Type Admin","admin get all Product Type no token","SUCCESS","2022-12-22T23:31:51.6241591+07:00[Asia/Jakarta]","0.0","0.22"
"Product Type Admin","admin get a Product Type by Id no token","SUCCESS","2022-12-22T23:31:51.8610101+07:00[Asia/Jakarta]","0.0","0.38"
"Provider Admin","admin get all Provider","SUCCESS","2022-12-22T23:31:43.9049264+07:00[Asia/Jakarta]","0.0","5.99"
"Provider Admin","admin get a Provider by id","SUCCESS","2022-12-22T23:31:50.2410165+07:00[Asia/Jakarta]","0.0","1.64"
"Provider Admin","admin get all Provider no token","SUCCESS","2022-12-22T23:31:51.8969879+07:00[Asia/Jakarta]","0.0","0.35"
"Provider Admin","admin get a Provider by id no token","SUCCESS","2022-12-22T23:31:52.2647607+07:00[Asia/Jakarta]","0.0","1.11"
"Wallet Admin","admin get All Wallet","SUCCESS","2022-12-22T23:31:43.8869377+07:00[Asia/Jakarta]","0.0","5.92"
"Wallet Admin","admin get a Wallet by id","SUCCESS","2022-12-22T23:31:50.1480731+07:00[Asia/Jakarta]","0.0","0.6"
"Wallet Admin","admin get All Wallet no token","SUCCESS","2022-12-22T23:31:50.7816792+07:00[Asia/Jakarta]","0.0","0.26"
"Wallet Admin","admin get a Wallet by id no token","SUCCESS","2022-12-22T23:31:51.0665021+07:00[Asia/Jakarta]","0.0","0.35"
