"Story","Title","Result","Date","Stability","Duration (s)"
"Category User","user a get Category product","SUCCESS","2022-12-22T23:31:43.9748832+07:00[Asia/Jakarta]","0.0","5.85"
"Category User","user a get Category product no token","SUCCESS","2022-12-22T23:31:54.9958593+07:00[Asia/Jakarta]","0.0","0.2"
"Product Type User","user product type","SUCCESS","2022-12-22T23:31:44.0598319+07:00[Asia/Jakarta]","0.0","5.76"
"Product Type User","user get product type by id","SUCCESS","2022-12-22T23:31:50.0161534+07:00[Asia/Jakarta]","0.0","0.71"
"Product Type User","user get product type no token","SUCCESS","2022-12-22T23:31:50.7596933+07:00[Asia/Jakarta]","0.0","0.26"
"Product Type User","user get product type by id no token","SUCCESS","2022-12-22T23:31:51.0495129+07:00[Asia/Jakarta]","0.0","0.88"
"Product User","user get all product","SUCCESS","2022-12-22T23:31:43.8549578+07:00[Asia/Jakarta]","0.0","6.7"
"Product User","user get product by id","SUCCESS","2022-12-22T23:31:50.5788073+07:00[Asia/Jakarta]","0.0","0.95"
"Product User","user get product no token","SUCCESS","2022-12-22T23:31:51.5472039+07:00[Asia/Jakarta]","0.0","0.33"
"Product User","user get product by id no token","SUCCESS","2022-12-22T23:31:51.9079812+07:00[Asia/Jakarta]","0.0","0.32"
"Transaction User","user buy the item","SUCCESS","2022-12-22T23:31:43.7560194+07:00[Asia/Jakarta]","0.0","6.04"
"Transaction User","user view the history","SUCCESS","2022-12-22T23:31:50.312971+07:00[Asia/Jakarta]","0.0","1.63"
"Transaction User","user buy the item no token","SUCCESS","2022-12-22T23:31:51.9609482+07:00[Asia/Jakarta]","0.0","0.33"
"Transaction User","user view the history no token","SUCCESS","2022-12-22T23:31:52.3037361+07:00[Asia/Jakarta]","0.0","1.02"
"Wallet User","user top up balance","SUCCESS","2022-12-22T23:31:43.9249139+07:00[Asia/Jakarta]","0.0","5.9"
"Wallet User","user get my wallet","SUCCESS","2022-12-22T23:31:50.2839877+07:00[Asia/Jakarta]","0.0","2.99"
"Wallet User","user get my wallet history","SUCCESS","2022-12-22T23:31:53.3009828+07:00[Asia/Jakarta]","0.0","0.21"
"Wallet User","user get my wallet cashin cashout","SUCCESS","2022-12-22T23:31:53.5248458+07:00[Asia/Jakarta]","0.0","0.15"
"Wallet User","user top up balance no token","SUCCESS","2022-12-22T23:31:53.6857456+07:00[Asia/Jakarta]","0.0","0.13"
"Wallet User","user get my wallet no token","SUCCESS","2022-12-22T23:31:53.8246597+07:00[Asia/Jakarta]","0.0","0.1"
"Wallet User","user get my wallet history no token","SUCCESS","2022-12-22T23:31:53.9375877+07:00[Asia/Jakarta]","0.0","0.1"
"Wallet User","user get my wallet cashin cashout no token","SUCCESS","2022-12-22T23:31:54.0505189+07:00[Asia/Jakarta]","0.0","0.09"
