"Story","Title","Result","Date","Stability","Duration (s)"
"Login","login with email password valid","SUCCESS","2022-12-19T16:05:44.9009191+07:00[Asia/Jakarta]","0.0","6.46"
"Login","login with email valid and no password","SUCCESS","2022-12-19T16:05:51.3989898+07:00[Asia/Jakarta]","0.0","1.66"
"Login","login with password valid and no email","SUCCESS","2022-12-19T16:05:53.0685579+07:00[Asia/Jakarta]","0.0","1.24"
"Login","login with null data","SUCCESS","2022-12-19T16:05:54.3277844+07:00[Asia/Jakarta]","0.0","1.07"
"Login","login with email and password invalid","SUCCESS","2022-12-19T16:05:55.4208049+07:00[Asia/Jakarta]","0.0","1.24"
"Login","login with email valid and password invalid","SUCCESS","2022-12-19T16:05:56.6827604+07:00[Asia/Jakarta]","0.0","6.53"
"Login","login with email invalid and password valid","SUCCESS","2022-12-19T16:06:03.2234844+07:00[Asia/Jakarta]","0.0","2.33"
"Logout","logout with invalid token","SUCCESS","2022-12-19T16:05:51.9636397+07:00[Asia/Jakarta]","0.0","1.46"
"Logout","logout with null token","SUCCESS","2022-12-19T16:05:53.4458438+07:00[Asia/Jakarta]","0.0","1.38"
"Register","Register with phone_number email password","SUCCESS","2022-12-19T16:05:51.9946211+07:00[Asia/Jakarta]","0.0","1.42"
"Register","Register with name email password","SUCCESS","2022-12-19T16:05:53.4298556+07:00[Asia/Jakarta]","0.0","2.03"
"Register","Register with name phone_number password","SUCCESS","2022-12-19T16:05:55.4717727+07:00[Asia/Jakarta]","0.0","1.46"
"Register","Register with name phone_number email","SUCCESS","2022-12-19T16:05:56.9596277+07:00[Asia/Jakarta]","0.0","2.87"
"Register","Register with no data","SUCCESS","2022-12-19T16:05:59.8422989+07:00[Asia/Jakarta]","0.0","1.59"
"Register","Register with register account","SUCCESS","2022-12-19T16:06:01.4413988+07:00[Asia/Jakarta]","0.0","1.93"
